,번호,카테고리,제목,등록일,link
56,5779,[대학원],2023-2학기 대학원별 외국어시험 면제 신청 안내,2023-09-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463933&article.offset=0&articleLimit=500
57,5778,[대학원],2023-2학기 대학원별 성적취소 신청 안내,2023-09-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463926&article.offset=0&articleLimit=500
58,5777,[등록],2023학년도 2학기 등록금 분할납부 2차분 등록기간 안내,2023-09-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463880&article.offset=0&articleLimit=500
59,5776,[등록],2023학년도 2학기 등록금 납부 안내(최종: 2023.9.25.~26.),2023-09-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463875&article.offset=0&articleLimit=500
60,5775,[학적],2023학년도 2학기 성적취소 신청 안내,2023-09-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463766&article.offset=0&articleLimit=500
61,5774,[장학],2023년 2학기 안산시 대학생 본인부담 등록금 반값지원 안내,2023-09-18,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463404&article.offset=0&articleLimit=500
62,5773,[등록],2023학년도 2학기 등록금 납부 안내(최종),2023-09-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463290&article.offset=0&articleLimit=500
63,5772,[장학],2023년 2학기 「한국장학재단 취업연계유형 국가근로」  ㈜ 에스테크원 참여학생 모집,2023-09-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463211&article.offset=0&articleLimit=500
64,5771,[장학],2023년 고속도로 장학생 선발 안내,2023-09-14,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463011&article.offset=0&articleLimit=500
65,5770,,2023 글로컬마케터 전문가 양성  프로그램 지원자 모집  ,2023-09-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462931&article.offset=0&articleLimit=500
66,5769,[대학원],[장학] 대학원생 장학금 지급 계좌 등록 방법 안내,2023-09-12,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462752&article.offset=0&articleLimit=500
67,5768,[등록],2023학년도 2학기 등록금 납부 안내(추가3차),2023-09-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462303&article.offset=0&articleLimit=500
68,5767,[성적],[10/4-10/6] 2023-2학기 군복무 중 취득학점 인정 신청 안내,2023-09-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462248&article.offset=0&articleLimit=500
69,5766,[장학],2023-2학기 중소기업 취업연계 장학사업(희망사다리 I유형) 신규장학생 신청 안내,2023-09-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462166&article.offset=0&articleLimit=500
70,5765,[장학],2023-2학기 고졸 후학습자 장학사업(희망사다리 II유형) 신규장학생 신청 안내(신청기간 연장),2023-09-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462159&article.offset=0&articleLimit=500
71,5764,[대학원],2023학년도 2학기 전자저널 및 온라인 학술DB 이용안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462115&article.offset=0&articleLimit=500
72,5763,[등록],2023-2학기 의사순회진료 실시 안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462058&article.offset=0&articleLimit=500
73,5762,[등록],'생명 나눔 사랑의 헌혈' 실시 안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462043&article.offset=0&articleLimit=500
74,5761,[대학원],2023-2학기 대학원별 전적대학원 학점인정 신청 안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462025&article.offset=0&articleLimit=500
75,5760,[장학],2023년도 (재)광산장학회 장학생 선발 공고 안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462020&article.offset=0&articleLimit=500
76,5759,[장학],춘천시민장학재단 2023년도 하반기 장학생 선발 안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462008&article.offset=0&articleLimit=500
77,5758,[대학원],2023-2학기 일반대학원 박사과정 학생 석사 초과이수학점 인정 신청 안내,2023-09-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461953&article.offset=0&articleLimit=500
78,5757,[수업],2023-2학기 전자출결시스템 앱설치 안내,2023-09-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461854&article.offset=0&articleLimit=500
79,5756,[수업],"10/2(월,임시공휴일) 휴강 및 국가공휴일 휴강에 따른 보강일(공휴일지정보강기간) 안내",2023-09-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461678&article.offset=0&articleLimit=500
80,5755,[대학원],2023-2학기 대학원별 외국어시험 결과 발표 안내,2023-09-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461647&article.offset=0&articleLimit=500
81,5754,[학적],2023학년도 전기(2024년 2월) 졸업예정자 졸업사정 내역 열람 안내,2023-09-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461551&article.offset=0&articleLimit=500
82,5753,[대학원],2023-2학기 대학원별 학위논문연구계획서 제출 안내,2023-09-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461498&article.offset=0&articleLimit=500
